"conversation_id_str,""created_at"",""favorite_count"",""full_text"",""id_str"",""image_url"",""in_reply_to_screen_name"",""lang"",""location"",""quote_count"",""reply_count"",""retweet_count"",""tweet_url"",""user_id_str"",""username""";;;;;;;;;;;;;
"1620514245535502336,""2023-01-31T20:11:13.000Z"",""0"",""""""""""ak capek kerja sm org apalagi kalo jadi pegawai pemerintahan, ak ga suka sama sistem kerja nya. ya kalo ada ksempatan dan rezeki ak masih dikasih kerja alhamdulillah tp jujur keinginan ak lebih mau buka usaha sndiri, ak mau jadi owner setiap hari megang uang dari usaha"""""""""",""1620515065362546694"","""",""dndptrsh"",""in"","""",""0"",""1"",""0"",""https://x.com/dndptrsh/status/1620515065362546694"",""154434387"",""dndptrsh""";;;;;;;;;;;;;
"1620488627074797569,""2023-01-31T18:26:10.000Z"",""0"",""capek kerja mau baca au aja T_T"",""1620488627074797569"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/bedazzlinghyuck/status/1620488627074797569"",""1522488235280150533"",""bedazzlinghyuck""";;;;;;;;;;;;;
"1620410685229502469,""2023-01-31T18:15:52.000Z"",""0"",""@kegblgnunfaedh capek kerja gak tau waktu, ujungnya habis dalam sekejap. Ini bener-bener bikin struggle sih kadang emang."; ; ;" "","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;
"https://t.co/FmY7eVXrL7"",""1620486032633528320"","""",""kegblgnunfaedh"",""in"","""",""0"",""0"",""0"",""https://x.com/Karina_supreme/status/1620486032633528320"",""1229012128498995200"",""Karina_supreme"","""","""",""""";;;;;;;;;;;;;
"1620485823627165696,""2023-01-31T18:15:02.000Z"",""0"",""Siang capek kerja, malam capek merenung"",""1620485823627165696"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/ScatzPro/status/1620485823627165696"",""364199952"",""ScatzPro""";;;;;;;;;;;;;
"1620480140261330946,""2023-01-31T18:14:06.000Z"",""0"",""@sbyfess Gapapa capek kerja, daripada capek nyari kerja. Semangat yok!"",""1620485591531139072"","""",""sbyfess"",""in"","""",""0"",""0"",""0"",""https://x.com/thekidsone/status/1620485591531139072"",""1573400952576823296"",""thekidsone""";;;;;;;;;;;;;
"1620472970862010368,""2023-01-31T17:23:57.000Z"",""1"",""Capek kerja.. Tapi lebih capek lagi kalau ga ada kerjaan"","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;
"Hemmmh gimana yaa https://t.co/44rM4vzUto"",""1620472970862010368"",""https://pbs.twimg.com/media/Fn0TkkgaQAAW0m-.jpg"","""",""in"","""",""0"",""0"",""0"",""https://x.com/noviami_uta/status/1620472970862010368"",""4830735313"",""noviami_uta"","""","""",""""";;;;;;;;;;;;;
"1620468632504635393,""2023-01-31T17:06:43.000Z"",""0"",""Di fase capek kerja tapi biaya hidup melangit"",""1620468632504635393"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/dindulfarrah/status/1620468632504635393"",""62180577"",""dindulfarrah""";;;;;;;;;;;;;
"1620418645322248198,""2023-01-31T16:47:29.000Z"",""7"",""@nihaqus @mazzini_gsp @ridwankamil @PemprovJabar Jangan pak, fokus ke yg diliat netizen aja jgn fokus kerja. Yg ada capek kerja tp elektabilitas ga naik. Yg penting suara aja pak, kerja mah brlakangan"",""1620463791938084865"","""",""nihaqus"",""in"","""",""0"",""0"",""1"",""https://x.com/MadMim123/status/1620463791938084865"",""1535480766771015680"",""MadMim123""";;;;;;;;;;;;;
